"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","Adidas","Low Boots","tchooz","159","tchooz:9115218215169",,"USD","true",,"men","false","GAZELLE Men","2026-05-22T03:00:12Z","41 1/3","42","42 2/3","43 1/3","44","44 2/3","45 1/3",,,,,,"BB5476","https://tchoozshoes.com/products/gazelle-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","175","tchooz:9115218051329","105","USD","true","40","men","true","Mostro Camo Men","2026-05-22T03:00:12Z","41","42","43","44","45","46","47",,,,,,"40154003","https://tchoozshoes.com/products/mostro-camo-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","165","tchooz:9115217953025",,"USD","true",,"women","false","Mostro OG Prime Women","2026-05-22T03:00:12Z","36","37","37.5","38","38.5","39","40",,,,,,"40320601-w","https://tchoozshoes.com/products/mostro-og-prime-women","does_not_exist"
"in_stock","Puma","Beanie","tchooz","28","tchooz:9115217887489",,"USD","true",,"unisex","false","ESS Mid Crown Beanie","2026-05-22T03:00:12Z","X",,,,,,,,,,,,"2640006","https://tchoozshoes.com/products/ess-mid-crown-beanie","does_not_exist"
"in_stock","Puma","Pants","tchooz","77","tchooz:9115217690881",,"USD","true",,"men","false","M TAD ESSENTIALS Tapered Pant Men","2026-05-22T03:00:12Z","M","XXL",,,,,,,,,,,"52591601","https://tchoozshoes.com/products/m-tad-essentials-tapered-pant-men","does_not_exist"
"in_stock","Puma","Tights","tchooz","72","tchooz:9115217658113","45","USD","true","37.5","women","true","W PUMA STRONG TIGHT - HW FL Women","2026-05-22T03:00:12Z","L","XS","M",,,,,,,,,,"52600096","https://tchoozshoes.com/products/w-puma-strong-tight-hw-fl-women","does_not_exist"
"in_stock","Puma","Bras","tchooz","42","tchooz:9115217559809","25","USD","true","40.48","women","true","4KEEPS BRA - RIBBON STRIPE PRINT Women","2026-05-22T03:00:12Z","XS",,,,,,,,,,,,"52815296","https://tchoozshoes.com/products/4keeps-bra-ribbon-stripe-print-women","does_not_exist"
"in_stock","Puma","Hoodies","tchooz","72","tchooz:9115217527041","45","USD","true","37.5","boys","true","MID90s Layered Hoodie FL Boys","2026-05-22T03:00:12Z","7-8 Years","15-16 Years",,,,,,,,,,,"68847304","https://tchoozshoes.com/products/mid90s-layered-hoodie-fl-boys","does_not_exist"
"in_stock","Puma","Pants","tchooz","55","tchooz:9115217494273","35","USD","true","36.36","girls","true","TWEENERVERSE Sweatpants TR Girls","2026-05-22T03:00:12Z","7-8 Years","9-10 Years","13-14 Years",,,,,,,,,,"68850734","https://tchoozshoes.com/products/tweenerverse-sweatpants-tr-girls","does_not_exist"
"in_stock","Puma","Tees","tchooz","37","tchooz:9115217297665","20","USD","true","45.95","girls","true","MOODY CAT Graphic Tee I PS","2026-05-22T03:00:12Z","5-6 Years","6-7 Years","3-4 Years","4-5 Years",,,,,,,,,"63220587","https://tchoozshoes.com/products/moody-cat-graphic-tee-i-ps","does_not_exist"
"in_stock","Puma","Tees","tchooz","32","tchooz:9115217264897","15","USD","true","53.12","girls","true","MOODY CAT Graphic Tee II PS","2026-05-22T03:00:12Z","Gold","5-6 Years",,,,,,,,,,,"63220662","https://tchoozshoes.com/products/moody-cat-graphic-tee-ii-ps","does_not_exist"
"in_stock","Puma","Pants","tchooz","55","tchooz:9115217199361","35","USD","true","36.36","girls","true","MOODY CAT Sweatpants TR PS","2026-05-22T03:00:12Z","Gold","5-6 Years","6-7 Years",,,,,,,,,,"63220962","https://tchoozshoes.com/products/moody-cat-sweatpants-tr-ps","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","115","tchooz:9115217101057","70","USD","true","39.13","girls","true","Speedcat Pearlized Junior","2026-05-22T03:00:12Z","36","37","37.5","38","39",,,,,,,,"40430201","https://tchoozshoes.com/products/speedcat-pearlized-junior","does_not_exist"
"in_stock","Puma","Shorts","tchooz","43","tchooz:9115217068289",,"USD","true",,"men","false","M TAD ESSENTIALS 7"" Woven Short Men","2026-05-22T03:00:12Z","S","M","L","XL","XXL",,,,,,,,"52591001","https://tchoozshoes.com/products/m-tad-essentials-7-woven-short-men","does_not_exist"
"in_stock","Puma","Pants","tchooz","75","tchooz:9115217035521","45","USD","true","40","boys","true","T7 SUPER PUMA Woven Pants Boys","2026-05-22T03:00:12Z","7-8 Years","9-10 Years","11-12 Years","13-14 Years","15-16 Years",,,,,,,,"63223601","https://tchoozshoes.com/products/t7-super-puma-woven-pants-boys","does_not_exist"
"in_stock","Puma","Tights","tchooz","80","tchooz:9115216675073","30","USD","true","62.5","women","true","W STRONG FLORAL RIBBON TIGHT 7/8 Women","2026-05-22T03:00:12Z","L",,,,,,,,,,,,"52775601","https://tchoozshoes.com/products/w-strong-floral-ribbon-tight-7-8-women","does_not_exist"
"in_stock","Puma","tees","tchooz","30","tchooz:9115216576769","10","USD","true","66.67",,"true","CATS CLUB Tee PS","2026-05-22T03:00:12Z","3-4 Years","4-5 Years","5-6 Years",,,,,,,,,,"68516147","https://tchoozshoes.com/products/cats-club-tee-ps","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","100","tchooz:9115216511233","80","USD","true","20","men","true","ATTACANTO II FG/AG Men","2026-05-22T03:00:12Z","41","42","43","44","44.5","45","46","47",,,,,"10849301","https://tchoozshoes.com/products/attacanto-ii-fg-ag-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","100","tchooz:9115216478465","80","USD","true","20","men","true","ATTACANTO II TT Men","2026-05-22T03:00:12Z","41","42","43","44","44.5","45","46","47",,,,,"10849404","https://tchoozshoes.com/products/attacanto-ii-tt-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","75","tchooz:9115216445697","60","USD","true","20","men","true","VITORIA II FG/AG Men","2026-05-22T03:00:12Z","41","42","43","44","44.5","45","46","47",,,,,"10850001","https://tchoozshoes.com/products/vitoria-ii-fg-ag-men","does_not_exist"
"in_stock","Puma","Beanies","tchooz","54","tchooz:9115216314625",,"USD","true",,"unisex","false","BMW MMS Mid Crown Beanie","2026-05-22T03:00:12Z","X",,,,,,,,,,,,"2645301","https://tchoozshoes.com/products/bmw-mms-mid-crown-beanie","does_not_exist"
"in_stock","Puma","Beanies","tchooz","30","tchooz:9115216281857",,"USD","true",,"kids","false","COMIC Mid Crown Beanie Junior","2026-05-22T03:00:12Z","Navy","YUTH",,,,,,,,,,,"2655803","https://tchoozshoes.com/products/comic-mid-crown-beanie-junior","does_not_exist"
"in_stock","Puma","Shinguards","tchooz","36","tchooz:9115216249089",,"USD","true",,"men","false","NEYMAR JR ULTRA Light Sleeve","2026-05-22T03:00:12Z","L",,,,,,,,,,,,"3100701","https://tchoozshoes.com/products/neymar-jr-ultra-light-sleeve","does_not_exist"
"in_stock","Puma","Waterbottles","tchooz","35","tchooz:9115216216321",,"USD","true",,"unisex","false","TR SPORSTYLE LARGE Waterbottle","2026-05-22T03:00:12Z","X","Yellow",,,,,,,,,,,"5381134","https://tchoozshoes.com/products/tr-sporstyle-large-waterbottle","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","100","tchooz:9115215921409","70","USD","true","30","women","true","Softride Harli Women","2026-05-22T03:00:12Z","37",,,,,,,,,,,,"31110018","https://tchoozshoes.com/products/softride-harli-women","does_not_exist"
