product_key,sku_id,brand,style_code,catalog_product_name,retail_price_usd,match_type,match_score,matched_products_count,match_reason,competitor_min_price_usd,competitor_avg_price_usd,competitor_max_price_usd,num_competitors,competitors_on_sale_count,competitors_on_sale_ratio,competitors_in_stock_count,competitors_out_of_stock_count,latest_scraped_at,cheapest_competitor_name,has_competitor_data,data_freshness_hours
ADIDAS|JC8403,SP-03C17880F4,ADIDAS,JC8403,3 STRIPES TEE,39.17,exact_style,1.0,1,same normalized brand and style_code,35.0,35.0,35.0,1,1,1.0,1,0,2026-04-10T15:03:23Z,adidas_lb,1,1077.06
ADIDAS|JD4982,SP-E7F43FB6BA,ADIDAS,JD4982,"3-Stripes Leggings, Brown",43.71,exact_style,1.0,1,same normalized brand and style_code,43.0,43.0,43.0,1,1,1.0,1,0,2026-04-10T15:03:59Z,adidas_lb,1,1077.05
ADIDAS|JE5682,SP-511FC63A1A,ADIDAS,JE5682,Adidas D4T 3 Stripes Men Training Short Black,68.3,exact_style,1.0,2,same normalized brand and style_code,76.0,76.5,77.0,2,0,0.0,2,0,2026-04-10T14:29:33Z,adidas_lb,1,1077.62
ADIDAS|JE8943,SP-275CC88728,ADIDAS,JE8943,Adidas Essentials Big Logo Men Sportswear T-Shirt White/Black,42.19,exact_style,1.0,2,same normalized brand and style_code,44.0,44.5,45.0,2,0,0.0,2,0,2026-04-10T14:29:49Z,adidas_lb,1,1077.62
ADIDAS|JE9741,SP-8F64E1FCBD,ADIDAS,JE9741,Adidas INTER MIAMI IMCF JSY HOME Football Men,74.49,exact_style,1.0,2,same normalized brand and style_code,61.0,61.0,61.0,2,2,1.0,2,0,2026-04-10T15:04:24Z,adidas_lb,1,1077.04
ADIDAS|JF8484,SP-648D792B8F,ADIDAS,JF8484,Adidas Lightweight Baseball Unisex Training Cap White,28.93,exact_style,1.0,2,same normalized brand and style_code,26.0,26.0,26.0,2,0,0.0,2,0,2026-04-10T14:29:59Z,adidas_lb,1,1077.61
ADIDAS|JI2306,SP-C5A9CE6C8D,ADIDAS,JI2306,"Barreda Shoes, White",92.69,exact_style,1.0,2,same normalized brand and style_code,95.0,95.5,96.0,2,0,0.0,2,0,2026-04-10T14:30:23Z,adidas_lb,1,1077.61
ADIDAS|JI2316,SP-1A5E48962B,ADIDAS,JI2316,"Barreda Decode Shoes, Black",121.06,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:30:24Z,adidas_lb,1,1077.61
ADIDAS|JI2318,SP-C1FA92617F,ADIDAS,JI2318,"Barreda Decode Shoes, Green",123.0,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:30:24Z,adidas_lb,1,1077.61
ADIDAS|JI2321,SP-A2D46F25B1,ADIDAS,JI2321,"Barreda Decode Shoes, White",136.18,exact_style,1.0,2,same normalized brand and style_code,126.0,126.0,126.0,2,0,0.0,2,0,2026-04-10T14:30:25Z,adidas_lb,1,1077.61
ADIDAS|JI4632,SP-CF5BCC0FE2,ADIDAS,JI4632,"Response Super Shoes, White",89.05,exact_style,1.0,2,same normalized brand and style_code,69.0,69.0,69.0,2,2,1.0,2,0,2026-04-10T15:06:34Z,adidas_lb,1,1077.0
ADIDAS|JI8081,SP-EFA218BDF9,ADIDAS,JI8081,Adidas Classic Training Backpack With Pencil Case Unisex Black/White,53.85,exact_style,1.0,2,same normalized brand and style_code,47.0,47.5,48.0,2,0,0.0,2,0,2026-04-10T14:30:38Z,adidas_lb,1,1077.6
ADIDAS|JJ1926,SP-351A270268,ADIDAS,JJ1926,Adidas Real Madrid 25/26 Home Men Football Short White,72.85,exact_style,1.0,2,same normalized brand and style_code,67.0,67.0,67.0,2,0,0.0,2,0,2026-04-10T14:30:50Z,adidas_lb,1,1077.6
ADIDAS|JJ1931,SP-56FCC8F98B,ADIDAS,JJ1931,Adidas Real Madrid 25/26 Home Jersey Men Football T-Shirt White,175.67,exact_style,1.0,2,same normalized brand and style_code,152.0,152.5,153.0,2,0,0.0,2,0,2026-04-10T14:30:50Z,adidas_lb,1,1077.6
ADIDAS|JJ2137,SP-DB6E685B51,ADIDAS,JJ2137,Adidas Fc Bayern 25/26 Home Jersey Men Football T-Shirt Red,140.76,exact_style,1.0,2,same normalized brand and style_code,159.0,159.0,159.0,2,0,0.0,2,0,2026-04-10T14:30:51Z,adidas_lb,1,1077.6
ADIDAS|JJ4182,SP-DB14195D44,ADIDAS,JJ4182,Adidas Real Madrid 25/26 Away Jersey Men Football T-Shirt Legend Ink,160.45,exact_style,1.0,2,same normalized brand and style_code,152.0,152.5,153.0,2,0,0.0,2,0,2026-04-10T14:30:53Z,adidas_lb,1,1077.6
ADIDAS|JJ4320,SP-DE8799B8CD,ADIDAS,JJ4320,Adidas Juventus 25/26 Home Jersey Men Football T-Shirt White/Black,198.12,exact_style,1.0,2,same normalized brand and style_code,152.0,152.5,153.0,2,0,0.0,2,0,2026-04-10T14:30:54Z,adidas_lb,1,1077.6
ADIDAS|JL5081,SP-0246864EFD,ADIDAS,JL5081,Adidas Workout Essentials Woven Women Training Pant Black,75.36,exact_style,1.0,2,same normalized brand and style_code,76.0,76.5,77.0,2,0,0.0,2,0,2026-04-10T14:30:55Z,adidas_lb,1,1077.6
ADIDAS|JM6459,SP-CC132CEF52,ADIDAS,JM6459,Adidas Food Grilled Cheese Graphic Men Sportswear T-Shirt Off White,43.76,exact_style,1.0,2,same normalized brand and style_code,44.0,44.5,45.0,2,0,0.0,2,0,2026-04-10T14:31:04Z,adidas_lb,1,1077.6
ADIDAS|JN5237,SP-42DCF92EB8,ADIDAS,JN5237,Adidas Juventus 25/26 Home Jersey Kids-Unisex Football T-Shirt White/Black,129.37,exact_style,1.0,2,same normalized brand and style_code,117.0,117.0,117.0,2,0,0.0,2,0,2026-04-10T14:31:14Z,adidas_lb,1,1077.59
ADIDAS|JN8878,SP-709D55A450,ADIDAS,JN8878,Adidas Real Madrid 25/26 Home Kids-Unisex Football Short White,56.3,exact_style,1.0,2,same normalized brand and style_code,61.0,61.0,61.0,2,0,0.0,2,0,2026-04-10T14:31:20Z,adidas_lb,1,1077.59
ADIDAS|JN8887,SP-DA8CC184C9,ADIDAS,JN8887,Adidas Real Madrid 25/26 Home Jersey Kids-Unisex Football T-Shirt White,112.3,exact_style,1.0,2,same normalized brand and style_code,117.0,117.0,117.0,2,0,0.0,2,0,2026-04-10T14:31:20Z,adidas_lb,1,1077.59
ADIDAS|JV5079,SP-236F78ABB2,ADIDAS,JV5079,Adidas Camo Graphic Kids-Boys Sportswear T-Shirt Black,27.49,exact_style,1.0,2,same normalized brand and style_code,28.0,28.5,29.0,2,0,0.0,2,0,2026-04-10T14:33:19Z,adidas_lb,1,1077.56
ADIDAS|JV7515,SP-E961A24573,ADIDAS,JV7515,"Adibreak Tracksuit Bottoms, Green",111.33,exact_style,1.0,1,same normalized brand and style_code,121.0,121.0,121.0,1,0,0.0,1,0,2026-04-10T14:33:30Z,adidas_lb,1,1077.56
ADIDAS|KA2796,SP-EB900BB3C2,ADIDAS,KA2796,"Adi365 Running Pocket Medium Support Bra, Green",77.07,exact_style,1.0,1,same normalized brand and style_code,80.0,80.0,80.0,1,0,0.0,1,0,2026-04-10T14:34:55Z,adidas_lb,1,1077.53
ADIDAS|KC5821,SP-D7ADEC42DC,ADIDAS,KC5821,"Adi365 Running Pocket Graphic Medium Support Bra, Black",89.24,exact_style,1.0,1,same normalized brand and style_code,88.0,88.0,88.0,1,0,0.0,1,0,2026-04-10T14:35:34Z,adidas_lb,1,1077.52
ADIDAS|KD3683,SP-7F6612273E,ADIDAS,KD3683,"3 Stripes Slim T-Shirt, White",48.34,exact_style,1.0,1,same normalized brand and style_code,54.0,54.0,54.0,1,0,0.0,1,0,2026-04-10T14:36:16Z,adidas_lb,1,1077.51
ADIDAS|KD7968,SP-DA4EFC860B,ADIDAS,KD7968,"3 Stripes Bralett, Black",47.59,exact_style,1.0,1,same normalized brand and style_code,54.0,54.0,54.0,1,0,0.0,1,0,2026-04-10T14:36:36Z,adidas_lb,1,1077.5
ADIDAS|KD7980,SP-FF9B4B4F9C,ADIDAS,KD7980,"3 Stripes Slim T-Shirt, Black",53.63,exact_style,1.0,1,same normalized brand and style_code,54.0,54.0,54.0,1,0,0.0,1,0,2026-04-10T14:36:38Z,adidas_lb,1,1077.5
ALL IN|IN204932,SP-171E383B23,ALL IN,IN204932,ALN Accessories Floating Kickboard Swim Swimming Gear Blue,5.17,exact_style,1.0,1,same normalized brand and style_code,5.0,5.0,5.0,1,1,1.0,1,0,2026-04-10T14:14:17Z,mikesport,1,1077.88
ALL IN|IN204933,SP-3C84F40051,ALL IN,IN204933,ALN Accessories Floating Kickboard Swim Swimming Gear Pink,5.21,exact_style,1.0,1,same normalized brand and style_code,5.0,5.0,5.0,1,1,1.0,1,0,2026-04-10T14:14:17Z,mikesport,1,1077.88
ALL IN|IN206612,SP-7418F06482,ALL IN,IN206612,ALN Accessories Aqua Dumbbell Swimming Gear Blue/Pink,6.24,exact_style,1.0,1,same normalized brand and style_code,6.0,6.0,6.0,1,1,1.0,1,0,2026-04-10T14:14:17Z,mikesport,1,1077.88
AQUATAIL|IN094156,SP-4B36B44C2F,AQUATAIL,IN094156,Aquatail Mermaid Tail Kids Beach Fins Green,45.26,exact_style,1.0,1,same normalized brand and style_code,42.0,42.0,42.0,1,1,1.0,1,0,2026-04-10T14:14:24Z,mikesport,1,1077.87
AQUATAIL|IN094389,SP-1BEA1A72D1,AQUATAIL,IN094389,Aquatail Mermaid Tail Kids Beach Fins Blue,38.34,exact_style,1.0,1,same normalized brand and style_code,42.0,42.0,42.0,1,1,1.0,1,0,2026-04-10T14:14:24Z,mikesport,1,1077.87
Adidas|NAME:ADIDAS COPA PURE II+ FG BOOTS39+45,SP-3350E7D69E,ADIDAS,,ADIDAS COPA PURE II+ FG BOOTS39+45,83.85,similar_product,0.7799,1,same brand/category/gender with 0.50 name overlap and comparable price,79.0,79.0,79.0,1,1,1.0,1,0,2026-04-10T14:41:14Z,adidas_lb,1,1077.43
