"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sizes_available/12","sizes_available/13","sizes_available/14","sizes_available/15","sizes_available/16","sizes_available/17","sku_id","source_url","style_code"
"in_stock","Adidas","Boys Clothing","adidas_lb","7200000","adidas_lb:A9_HR9485_ONE","1440000","LBP","true","80","unisex","true","Unisex Kids Finding Nemo Full-Zip Track Top Bahia, Orange","2026-04-30T03:17:03Z","1-2 Yrs",,,,,,,,,,,,,,,,,,"A9_HR9485_ONE","https://www.adidas.com.lb/en/adidas-outlet-unisex-kids-finding-nemo-full-zip-track-top-bahia-orange/A9_HR9485_ONE.html","HR9485"
"in_stock","Adidas","Boys Clothing","adidas_lb","6840000","adidas_lb:A9_HR9498_ONE","4410000","LBP","true","35.53","unisex","true","Unisex Kids adidas x Disney Mickey Mouse Tee Set, White","2026-04-30T03:17:03Z","7-8 Yrs","6-7 Yrs","9-10 Yrs",,,,,,,,,,,,,,,,"A9_HR9498_ONE","https://www.adidas.com.lb/en/adidas-outlet-unisex-kids-adidas-x-disney-mickey-mouse-tee-set-white/A9_HR9498_ONE.html","HR9498"
"in_stock","Adidas","Boys Clothing","adidas_lb","5490000","adidas_lb:A9_HR9502_ONE","3600000","LBP","true","34.43","boys","true","Kids Marvel Spider-Man Joggers, Black","2026-04-30T03:17:03Z","1-2 Yrs","3-4 Yrs","4-5 Yrs","7-8 Yrs","2-3 Yrs","9-10 Yrs",,,,,,,,,,,,,"A9_HR9502_ONE","https://www.adidas.com.lb/en/adidas-outlet-kids-marvel-spider-man-joggers-black/A9_HR9502_ONE.html","HR9502"
"in_stock","Adidas","Leggings","adidas_lb","7920000","adidas_lb:A9_HR9604_ONE","3960000","LBP","true","50","women","true","Optime Training 7/8 Leggings, Green","2026-04-30T03:17:04Z","XL",,,,,,,,,,,,,,,,,,"A9_HR9604_ONE","https://www.adidas.com.lb/en/outlet-adidas-optime-training-7-8-leggings-green/A9_HR9604_ONE.html","HR9604"
"in_stock","Adidas","Leggings","adidas_lb","7920000","adidas_lb:A9_HR9605_ONE","1620000","LBP","true","79.55","women","true","Optime Training 7/8 Leggings, Purple","2026-04-30T03:17:04Z","XL",,,,,,,,,,,,,,,,,,"A9_HR9605_ONE","https://www.adidas.com.lb/en/adidas-outlet-optime-training-7-8-leggings-purple/A9_HR9605_ONE.html","HR9605"
"in_stock","Adidas","Accessories","adidas_lb","6030000","adidas_lb:A9_HR9656_ONE","2430000","LBP","true","59.7","women","true","Running Medium-Support Bra, Green","2026-04-30T03:17:04Z","XS |A-C|",,,,,,,,,,,,,,,,,,"A9_HR9656_ONE","https://www.adidas.com.lb/en/adidas-outlet-running-medium-support-bra-green/A9_HR9656_ONE.html","HR9656"
"in_stock","Adidas","Accessories","adidas_lb","11340000","adidas_lb:A9_HR9662_ONE","7380000","LBP","true","34.92","women","true","Fastimpact Luxe Run High-Support Bra, Green","2026-04-30T03:17:05Z","S |A-C|","XS |A-C|",,,,,,,,,,,,,,,,,"A9_HR9662_ONE","https://www.adidas.com.lb/en/adidas-outlet-fastimpact-luxe-run-high-support-bra-green/A9_HR9662_ONE.html","HR9662"
"in_stock","Adidas","Accessories","adidas_lb","6840000","adidas_lb:A9_HR9669_ONE","4410000","LBP","true","35.53","women","true","Coreflow Medium-Support Bra, Pink","2026-04-30T03:17:05Z","S |A-C|","M |A-C|","L |A-C|","XS |A-C|",,,,,,,,,,,,,,,"A9_HR9669_ONE","https://www.adidas.com.lb/en/adidas-outlet-coreflow-medium-support-bra-pink/A9_HR9669_ONE.html","HR9669"
"in_stock","Adidas","Accessories","adidas_lb","8550000","adidas_lb:A9_HR9722_ONE","5580000","LBP","true","34.74","women","true","Powerimpact Luxe Training Medium-Support Bra, Brown","2026-04-30T03:17:06Z","S |D-DD|",,,,,,,,,,,,,,,,,,"A9_HR9722_ONE","https://www.adidas.com.lb/en/adidas-outlet-powerimpact-luxe-training-medium-support-bra-brown/A9_HR9722_ONE.html","HR9722"
"in_stock","Adidas","Shorts","adidas_lb","6030000","adidas_lb:A9_HR9863_ONE","1170000","LBP","true","80.6","women","true","Run Icons 3-Stripes Low Carbon Running Shorts, White","2026-04-30T03:17:06Z","XS3",,,,,,,,,,,,,,,,,,"A9_HR9863_ONE","https://www.adidas.com.lb/en/adidas-outlet-run-icons-3-stripes-low-carbon-running-shorts-white/A9_HR9863_ONE.html","HR9863"
