style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
KA0253,Adidas Adi365 Essentials Women Running Jacket White,"adi365 Running Essentials Jacket, White",96.0,USD,8550000.0,LBP,96.0,95.0,8640000.0,8550000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA2474,Adidas Workout Essentials V-Neck Women Training T-Shirt Black,"Workout Essentials V-Neck T-Shirt, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA4291,Adidas Adi365 Essentials Men Running Short Black,"Adi365 Running Essentials Shorts, Black",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KA7244,Adidas D4T Workout Men Training Pant Legend Ink,"D4T Workout Joggers, Blue",96.0,USD,8550000.0,LBP,96.0,95.0,8640000.0,8550000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KB5965,Adidas Adi365 Essentials Men Running T-Shirt Black,"Adi365 Running Essentials T-Shirt, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KB6855,Adidas Future Icons Oversized Kids-Boys Sportswear T-Shirt White/Black,"Kids Unisex Future Icons Oversized T-Shirt, White",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KB6896,Adidas Future Icons 3 Stripes Kids-Girls Sportswear T-Shirt White/Grey,"Kids Future Icons 3 Stripes T-Shirt, White",42.0,USD,3690000.0,LBP,42.0,41.0,3780000.0,3690000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KC1964,Adidas Future Icons 3 Stripes Kids-Boys Sportswear T-Shirt Black,"Kids Unisex Future Icons 3 Stripes T-Shirt, Black",42.0,USD,3690000.0,LBP,42.0,41.0,3780000.0,3690000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KC6409,Adidas Metal Straw 0.6 L Unisex Training Bottle Black,"Unisex Metal Water Bottle Straw 0.6 Liter, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KC6412,Adidas Metal Screw 0.6 L Unisex Training Bottle Black,"Unisex Metal Water Bottle Screw Top 0.6 L, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
KC6413,Adidas Metal Screw Top 0.6 L Unisex Training Bottle Grey/Black,"Unisex Metal Water Bottle Screw Top 0.6 L, Grey",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
